Name,Transmitter Code,Territory,Primary IPI Name Number,Start Date,End Date
HANS KUSTERS MUSIC,HKM,,48155968,09/10/2008,
Harry Fox,HF,,,,
HARRY FOX AGENCY,34,USA,,,
Have We Got Music For You,HWG,,478853791,17/04/2017,
HDS-ZAMP,111,Croatia,,,
High Fashion Music Bv,HFM,,254462469,25/03/2015,
Hillsong Music Publishing Uk,HSP,,664621047,04/03/2015,
HILLSONG PUBLISHING,HSP,,268140271,03/03/2008,
HMS,189,Saint Lucia,,,
Hodges House Of Songwriters,DHP,,575114258,22/02/2017,
HORNALL BROTHERS MUSIC,HB,,261774357,,
Horus Music,HM,,509033087,21/05/2015,
Hot Streak Music B.V.,HOT,,680144065,25/07/2012,
House Of Global Entertainment,GTP,,769033519,23/11/2015,
HTE,HTE,,511290887,16/11/2016,
HTV MUSIC,AE,,451851458,26/02/2009,
HUNGART,154,Hungary,,,
ICG,229,United States,,,
ICE,319,,,,
IDM MUSIC LTD,IDM,,346234962,12/12/2008,
IMJV,305,Netherlands,,,
IMRAS,IM,,445728241,14/11/2003,
IMRO,128,Ireland,,,
Ingrooves,IMP,,438087734,06/05/2015,
International-Universal Muzik Taksim Edisyon A S,UMT,,571318946,06/07/2010,
Intervox Production Music Publishing Gmbh,IVX,,547358327,23/08/2012,
Interzone Music Publishing Ltd,INT,,264311588,26/06/2012,
IPRS,36,India,,,
JACAP,190,Jamaica,,,
JACK RUSSELL MUSIC LIMITED,JRM,,519369427,22/04/2009,
JANMAR MUSIC,JAN,,48696434,,
JASRAC,38,Japan,,,
Jingle Punks Music,JPM,,568648100,11/07/2012,
Jrm Music,MGT,,129857241,18/12/2009,
JUST TOM,MLG,,536109367,07/08/2014,
KALAN MUZIK FILM VE YAYIM LI,KITAELD SIRKETI,,791604721,15/11/2016,
KASSNER ASSOCIATED PUBLISHERS LIMITED,KAP,,425343968,23/09/2005,
KAZAK,191,Kazakhstan,,,
KCI,109,Indonesia,,,
Keep Clear Music Limited,KCM,,750546346,04/03/2015,
Kew Music B.V.,KEW,,131183510,31/07/2015,
Kingsway Music,KWM,,435348848,04/06/2012,
Know Your Rights,KYR,,795703992,22/03/2016,
Kobalt Music Publishing Italia,KOB,,456474529,04/01/2010,
KOBALT MUSIC PUBLISHING LTD (KMP),KOB,,296955301,05/09/2003,
Kobalt Songs Music Publishing,KM,,296955301,18/11/2003,
KODA,40,Denmark,,,
KOMCA,118,South Korea,,,
KOPIOSTO,138,Finland,,,
KOSA,192,Korea Republic Of,,,
KUVASTO,193,Finland,,,
KVN PUBLISHING PTY LTD,KVN,,782389399,15/11/2016,
KYRGYZPATENT,194,Kyrgyzstan,,,
LAA,113,Latvia,,,
LARRY SPIER INC,MLG,,496697575,07/08/2014,
LATGA-A,110,Lithuania,,,
LATINAUTOR,302,Uruguay,,,
LATINNET,309,Spain,,,
Le Grand Divertissement B.V.,LGD,,827030462,22/12/2016,
Les Editions Du 22 Decembre,22D,,450628759,04/11/2010,
LIONHEART MUSIC AB,LIO,,518001398,10/09/2007,
LIRA,120,Netherlands,,,
LITA,28,Slovakia,,,
LITERAR-MECHANA,41,Austria,,,
Little Assembly Limited,LAL,,836953301,19/05/2017,
Little Brother Music Inc,LBM,,817919111,03/03/2017,
London Publishing House,LPH,,47938051,12/07/2005,
Long Lunch Music Limited,SOH,,647055441,12/01/2012,
Lorenz Corporation The,LOR,,130970590,13/08/2010,
LVG,42,Austria,,,
Lx-Editora-Lda,LXE,,257008183,01/07/2011,
Machiavelli Music Publishing,MMP,,460401791,11/04/2016,
Macloud Bv,MAC,,730990926,06/11/2015,
MACP,104,Malaysia,,,
Magic Arts Musikverlag Inh. Oliver Withoeft E.K.,MAG,,658143825,18/07/2013,
Magic Arts Publishing Ltd,MAG,,282862048,18/07/2013,
Magic Arts Publishing Usa,MAG,,333861660,18/07/2013,
Make Sense,MAK,,447654626,08/04/2013,
Maktub Music Publishing,TUB,,690862021,14/07/2016,
Map Catalogs,MSI,,610875064,22/04/2011,
Mars Music Ab,MAR,,586872783,28/09/2012,
Mars Music Scandinavia,MAR,,675558300,28/09/2012,
MASA,105,Mauritius,,,
Massive Publishing Bv,MSV,,471454847,29/03/2012,
Masstrax Music Net,MAS,,661395530,22/02/2012,
MCA Music Publishing,MU,,339622745,27/10/1999,30/03/2001
MCPS,44,United Kingdom,,,
Mcs Italia Ltd,MCS,,514177665,04/01/2010,
MCS MUSIC LIMITED,MCS,,405912183,13/11/2007,
MCSC,119,China,,,
MCSK,43,Kenya,,,
MCSN,22,Nigeria,,,
MCT,126,Thailand,,,
Me Gusta 30 Music,MGM,,647694891,15/05/2017,
Me Gusta Blue Music,MGM,,802257565,15/05/2017,
Me Gusta Green Music,MGM,,802264178,15/05/2017,
Me Gusta Music,MGM,,741485535,15/05/2017,
Me Gusta Red Music,MGM,,796837761,15/05/2017,
MEDIAN MUSIC INTERNATIONAL,MNF,,575605038,06/01/2009,
MEDIAN MUZIK EDISYON LIMITED SIRKETI,MND,,575604531,06/01/2009,
Megatrax Music,MT,,186762429,19/04/2011,
MEMORY LANE MUSIC CORP,MLG,,20440541,07/08/2014,
MEMORY LANE MUSIC LTD,MLG,,46880066,07/08/2014,
MESAM,117,Turkey,,,
Mike Curb Music,MCM,,72077386,12/12/2014,
MISASIA,307,Singapore,,,
Missing Link Music Llc,MLM,,257809238,25/04/2013,
Misty Music Ab,MIS,,205767860,12/02/2013,
Mmghq Ltd.,MMG,,678883861,02/10/2013,
MONCUR STREET MUSIC LTD,MO,,267196827,27/04/2004,
Mondiamusic,MON,,21202261,08/04/2013,
MONKEYFACTORY,PIG,,487180231,03/05/2007,
More Me Gusta Music,MGM,,653166544,15/05/2017,
Motus Music Limited,MOT,,833218453,01/06/2017,
Mpl Communications Ltd,MPL,,47821473,02/07/2013,
MRS,46,United Kingdom,,,
MSG,195,Turkey,,,
Msi Music Administration,MSI,,128852164,14/03/2012,
Msi Music Administration,MSI,,642570551,22/04/2011,14/03/2012
Mummy Dust Music Ltd,MDM,,85379634,09/12/2016,
MUSHROOM MUSIC PTY LTD,MSH,,71904874,31/08/2007,
Music And Images Gmbh,MI,,580093355,27/05/2010,
Music By Tafari Inc,MBT,,532770850,07/09/2011,
Music Of The Mothership,MOM,,709648806,05/06/2017,
Music Sales Corporation / Embassy,MS,,61094890,25/08/1999,
Music Sales LTD,ML,,133347789,16/04/2003,
Musicallstars Bv,MA,,277979684,10/03/2014,
MUSICAUTOR,39,Bulgaria,,,
Musicdirector Bv,MD,,209313888,01/01/2015,
MUSIKEDITION,196,Austria,,,
Musinfo Les Editions,MSO,,133207121,10/04/2015,
Musiqware Ltd,MWL,,588436204,26/06/2012,
MUST,161,Taiwan (Province Of China),,,
Mute Song,MUS,,162172689,04/08/2005,
Muziekuitgeverij Chrijoe,MCH,,621922173,16/03/2017,
Muzikal Productions Entertainment Volkan Guecer,MZK,,623497339,25/08/2011,
Mymusicrights Publishing,MYM,,610808573,01/02/2012,
Nada Music Gmbh,NMG,,52254306,18/03/2014,
Nanada B V,NAN,,217651966,22/10/2015,
NASCAM,102,Namibia,,,
Native Tongue Music Publishing,NTM,,161238688,15/11/2012,
NCB,48,Scandinavia,,,
NETTWERK MUSIC PUBLISHING (CA),NET,,270307395,22/10/2008,
NETTWERK ONE MUSIC CANADA LTD,NET,,482305660,22/10/2008,
NETTWERK SONGS PUBLISHING LTD,NET,,442773058,22/10/2008,
New Thunder Music Co,WWM,,35541597,18/11/2015,
Next Era,ERA,,587391699,31/07/2015,
Nikolaos Oikonomou Protasis Music Publishing,PRO,,810431390,02/03/2017,
NMPA,197,United States,,,
No Copyright Music,NCM,,840798998,03/05/2017,
NORD-DOC,303,Sweden,,,
Nordton Edition,NOR,,267537240,22/06/2011,
NS,99,,,,
Nuovi Media & Comunicazione Srl,NMC,,702394463,41985,
Nw Collections,NWC,,724721356,19/02/2014,
Ole (Scandinavia),OL,,708252356,31/07/2013,
Ole (Uk),OL,,709413941,31/07/2013,
OLE MEDIA MANAGEMENT LP,OL,,468068424,01/08/2006,
OMDA,33,Madagascar,,,
ONDA,49,Algeria,,,
OSA,50,Czech Republic,,,
OTPDA,82,Tunisia,,,
Outgivery,OUT,,442145094,03/11/2015,
PAPA'S MUSIC BV,HKM,,11106359,16/11/2016,
Papi Capi Holland Publishing,PAP,,668552898,31/07/2015,
PAPPRI,198,Indonesia,,,
Paul Rodriguez Music Ltd,PRM,,162326785,07/07/2015,
Paulina Golba Music,PGM,,772268517,24/11/2015,
Peer,PR,,133201531,29/09/1999,
Peer Edizioni Musicali S R L,PR,,14892187,04/01/2010,
Peerinternational,PR,,133201531,23/10/2013,
Peermusic (Germany) Gmbh,PR,,273956526,17/05/2010,
PEERMUSIC (UK) LTD.,PR,,162536085,12/06/2002,
Pelikan Muzik Yay Org Danis Dis Tic,PLK,,452163183,14/10/2008,
Pelikan Muzik-Mmg Turk Yayimcilik,PLK,,529936019,14/10/2008,
Pen Music Group Inc,PEN,,273537257,11/01/2013,
"PEN Music Group, Inc. ",PM,,337044577,01/08/2001,01/11/2013
Pennies From Heaven Bv,PFH,,224572775,17/03/2015,
Pentagon Lipservices,PLS,,23857775,20/06/2013,
Perfect Songs Ltd,PER,,51478971,08/10/2013,
Picture Lock Music Library Limited,PLM,,682026648,31/01/2013,
Pigfactory Continental Ltd,PFC,,521555964,03/05/2007,
PIGFACTORY CONTINENTAL LTD,PIG,,521555964,26/02/2009,
PIGFACTORY USA LLC,PIG,,488291213,03/05/2007,
PIGS RIOT PUBLISHING,PIG,,512575663,03/05/2007,
Pink Floyd Music Publishers LTD,PFM,,71257292,17/10/2014,
Polygram,PG,,128187466,,
Polygram Canada,PC,,211392603,,
Position Music Publishing,POS,,346955132,25/09/2013,
Preludio S R L,PRL,,512334398,18/04/2016,
Premier Ascap Tracks,PTR,,349775116,16/10/2009,
Premiumbeat Uk,PBM,,722712075,11/08/2014,
Prime Time Productions LTD,PT,,145586061,18/05/2000,
PROCAN,53,Canada,,,
PROLITTERIS,51,Switzerland,,,
Proof Songs Ltd,PSL,,471871534,21/02/2006,
PRS,52,United Kingdom,,,
Pump audio publishing,PU,,349416838,16/01/2006,
Quarrington Worthy Music,CBE,,88396617,19/05/2015,
Radio-Tele-Music-Belgie- Nederland,RAD,,25217120,20/06/2016,
Raleigh Music Publishing Llc,RAL,,799825459,19/04/2016,
Ram Island Songs,RIS,,476532238,26/08/2010,
Ram Island Songs,SON,,476532238,02/11/2011,
RAO,94,Russia,,,
Razor And Tie Music Publishing,RAT,,238650263,28/09/2011,
