"Validity start date of territory hierarchy","Numeric TIS-code of higher level territory","Validity start date of higher level territory","Numeric TIS-code of lower level territory","Validity start date of lower level territory","Validity end date of territory hierarchy"
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,280,1000/1/1 00:00:00,1990/10/2 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,300,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,336,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,380,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,438,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,442,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,492,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,528,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,620,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,674,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,724,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,756,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,890,1000/1/1 00:00:00,1991/12/31 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,2119,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2122,1000/1/1 00:00:00,2131,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2124,1000/1/1 00:00:00,40,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2124,1000/1/1 00:00:00,280,1000/1/1 00:00:00,1990/10/2 00:00:00
1000/1/1 00:00:00,2124,1000/1/1 00:00:00,756,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,4,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,48,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,50,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,64,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,144,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,356,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,364,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,368,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,400,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,414,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,462,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,496,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,512,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,524,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,586,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,634,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,682,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,720,1000/1/1 00:00:00,1990/5/21 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,784,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2125,1000/1/1 00:00:00,886,1000/1/1 00:00:00,1990/5/21 00:00:00
