"Numeric TIS-code of territory","Validity start date of territory","Validity start date of territory name code","Alphanumeric TIS-code of territory","Extended alphanumeric TIS-code of territory","Validity end date of territory name code"
740,1000/01/01 00:00:00,1000/01/01 00:00:00,"SR","SUR",3999/12/31 00:00:00
748,1000/01/01 00:00:00,1000/01/01 00:00:00,"SZ","SWZ",3999/12/31 00:00:00
752,1000/01/01 00:00:00,1000/01/01 00:00:00,"SE","SWE",3999/12/31 00:00:00
756,1000/01/01 00:00:00,1000/01/01 00:00:00,"CH","CHE",3999/12/31 00:00:00
760,1000/01/01 00:00:00,1000/01/01 00:00:00,"SY","SYR",3999/12/31 00:00:00
762,1992/01/01 00:00:00,1992/01/01 00:00:00,"TJ","TJK",3999/12/31 00:00:00
764,1000/01/01 00:00:00,1000/01/01 00:00:00,"TH","THA",3999/12/31 00:00:00
768,1000/01/01 00:00:00,1000/01/01 00:00:00,"TG","TGO",3999/12/31 00:00:00
776,1000/01/01 00:00:00,1000/01/01 00:00:00,"TO","TON",3999/12/31 00:00:00
780,1000/01/01 00:00:00,1000/01/01 00:00:00,"TT","TTO",3999/12/31 00:00:00
784,1000/01/01 00:00:00,1000/01/01 00:00:00,"AE","ARE",3999/12/31 00:00:00
788,1000/01/01 00:00:00,1000/01/01 00:00:00,"TN","TUN",3999/12/31 00:00:00
792,1000/01/01 00:00:00,1000/01/01 00:00:00,"TR","TUR",3999/12/31 00:00:00
795,1992/01/01 00:00:00,1992/01/01 00:00:00,"TM","TKM",3999/12/31 00:00:00
798,1000/01/01 00:00:00,1000/01/01 00:00:00,"TV","TUV",3999/12/31 00:00:00
800,1000/01/01 00:00:00,1000/01/01 00:00:00,"UG","UGA",3999/12/31 00:00:00
804,1992/01/01 00:00:00,1992/01/01 00:00:00,"UA","UKR",3999/12/31 00:00:00
807,1992/01/01 00:00:00,1992/01/01 00:00:00,"MK","MKD",3999/12/31 00:00:00
810,1000/01/01 00:00:00,1000/01/01 00:00:00,"SU","SUN",1991/12/31 00:00:00
818,1000/01/01 00:00:00,1000/01/01 00:00:00,"EG","EGY",3999/12/31 00:00:00
826,1000/01/01 00:00:00,1000/01/01 00:00:00,"GB","GBR",3999/12/31 00:00:00
834,1000/01/01 00:00:00,1000/01/01 00:00:00,"TZ","TZA",3999/12/31 00:00:00
840,1000/01/01 00:00:00,1000/01/01 00:00:00,"US","USA",3999/12/31 00:00:00
854,1000/01/01 00:00:00,1000/01/01 00:00:00,"BF","BFA",3999/12/31 00:00:00
858,1000/01/01 00:00:00,1000/01/01 00:00:00,"UY","URY",3999/12/31 00:00:00
860,1992/01/01 00:00:00,1992/01/01 00:00:00,"UZ","UZB",3999/12/31 00:00:00
862,1000/01/01 00:00:00,1000/01/01 00:00:00,"VE","VEN",3999/12/31 00:00:00
882,1000/01/01 00:00:00,1000/01/01 00:00:00,"WS","WSM",1997/10/08 00:00:00
882,1000/01/01 00:00:00,1997/10/09 00:00:00,"WS","WSM",3999/12/31 00:00:00
886,1000/01/01 00:00:00,1000/01/01 00:00:00,"YE","YEM",1990/05/21 00:00:00
887,1990/05/22 00:00:00,1990/05/22 00:00:00,"YE","YEM",3999/12/31 00:00:00
890,1000/01/01 00:00:00,1000/01/01 00:00:00,"YU","YUG",1991/12/31 00:00:00
891,1992/01/01 00:00:00,1992/01/01 00:00:00,"YU","YUG",2003/02/03 00:00:00
891,1992/01/01 00:00:00,2003/02/04 00:00:00,"CS","SCG",2006/06/02 00:00:00
894,1000/01/01 00:00:00,1000/01/01 00:00:00,"ZM","ZMB",3999/12/31 00:00:00
2100,1000/01/01 00:00:00,1000/01/01 00:00:00,"2AF",,3999/12/31 00:00:00
2101,1000/01/01 00:00:00,1000/01/01 00:00:00,"2AM",,3999/12/31 00:00:00
2102,1000/01/01 00:00:00,1000/01/01 00:00:00,"2AC",,3999/12/31 00:00:00
2103,1000/01/01 00:00:00,1000/01/01 00:00:00,"2AN",,3999/12/31 00:00:00
2104,1989/11/07 00:00:00,1989/11/07 00:00:00,"2AP",,3999/12/31 00:00:00
2105,1967/08/08 00:00:00,1967/08/08 00:00:00,"2AE",,3999/12/31 00:00:00
2106,1000/01/01 00:00:00,1000/01/01 00:00:00,"2AS",,3999/12/31 00:00:00
2107,1000/01/01 00:00:00,1000/01/01 00:00:00,"2AA",,3999/12/31 00:00:00
2108,1000/01/01 00:00:00,1000/01/01 00:00:00,"2BA",,3999/12/31 00:00:00
2109,1000/01/01 00:00:00,1000/01/01 00:00:00,"2BS",,3999/12/31 00:00:00
2110,1948/01/01 00:00:00,1948/01/01 00:00:00,"2BE",,3999/12/31 00:00:00
2111,1000/01/01 00:00:00,1000/01/01 00:00:00,"2BI",,3999/12/31 00:00:00
2112,1000/01/01 00:00:00,1000/01/01 00:00:00,"2BW",,3999/12/31 00:00:00
2113,1000/01/01 00:00:00,1000/01/01 00:00:00,"2CA",,3999/12/31 00:00:00
2114,1931/01/01 00:00:00,1931/01/01 00:00:00,"2CO",,3999/12/31 00:00:00
2115,1931/01/01 00:00:00,1931/01/01 00:00:00,"2CF",,3999/12/31 00:00:00
2116,1931/01/01 00:00:00,1931/01/01 00:00:00,"2CS",,3999/12/31 00:00:00
2117,1931/01/01 00:00:00,1931/01/01 00:00:00,"2CU",,3999/12/31 00:00:00
2118,1992/01/01 00:00:00,1992/01/01 00:00:00,"2CI",,3999/12/31 00:00:00
2119,1000/01/01 00:00:00,1000/01/01 00:00:00,"2EE",,3999/12/31 00:00:00
2120,1000/01/01 00:00:00,1000/01/01 00:00:00,"2EU",,3999/12/31 00:00:00
2121,1994/01/01 00:00:00,1994/01/01 00:00:00,"2EM",,3999/12/31 00:00:00
2122,1000/01/01 00:00:00,1000/01/01 00:00:00,"2EC",,3999/12/31 00:00:00
2123,1958/01/01 00:00:00,1958/01/01 00:00:00,"2EY",,1993/10/31 00:00:00
2123,1958/01/01 00:00:00,1993/11/01 00:00:00,"2EN",,3999/12/31 00:00:00
2124,1000/01/01 00:00:00,1000/01/01 00:00:00,"2GC",,3999/12/31 00:00:00
2125,1000/01/01 00:00:00,1000/01/01 00:00:00,"2ME",,3999/12/31 00:00:00
2126,1994/01/01 00:00:00,1994/01/01 00:00:00,"2NT",,3999/12/31 00:00:00
2127,1000/01/01 00:00:00,1000/01/01 00:00:00,"2NC",,3999/12/31 00:00:00
2128,1000/01/01 00:00:00,1000/01/01 00:00:00,"2NF",,3999/12/31 00:00:00
2129,1000/01/01 00:00:00,1000/01/01 00:00:00,"2NA",,3999/12/31 00:00:00
2130,1000/01/01 00:00:00,1000/01/01 00:00:00,"2OC",,3999/12/31 00:00:00
2131,1000/01/01 00:00:00,1000/01/01 00:00:00,"2SC",,3999/12/31 00:00:00
2132,1000/01/01 00:00:00,1000/01/01 00:00:00,"2SA",,3999/12/31 00:00:00
2133,1000/01/01 00:00:00,1000/01/01 00:00:00,"2SE",,3999/12/31 00:00:00
2134,1000/01/01 00:00:00,1000/01/01 00:00:00,"2WI",,3999/12/31 00:00:00
2136,1000/01/01 00:00:00,1000/01/01 00:00:00,"2WL",,3999/12/31 00:00:00
