"Numeric TIS-code of territory","Validity start date of territory","Validity start date of territory name code","Alphanumeric ISO-code of language","Territory name","Official territory name","Abbreviated territory name","Unofficial territory name"
140,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","CENTRAL AFRICAN REPUBLIC",,"CENT.AFRIC.REP.",
140,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","REPUBLICA CENTRAL AFRICANA",,"REP.CENT.AFRIC.",
140,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","CENTRAFRICAINE, REPUBLIQUE","REPUBLIQUE CENTRAFRICAINE","REP.CENTRAFRIC.",
144,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","SRI LANKA","DEMOKRATISCHE SOZIALISTISCHE REPUBLIK SRI LANKA","SRI LANKA","CEYLON"
144,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","SRI LANKA","DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA","SRI LANKA",
144,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","SRI LANKA","REPUBLICA SOCIALISTA DEMOCRATICA DE SRI LANKA","SRI LANKA",
144,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","SRI LANKA","REPUBLIQUE SOCIALISTE DEMOCRATIQUE DE SRI LANKA","SRI LANKA",
148,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","TSCHAD","REPUBLIK TSCHAD","TSCHAD",
148,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","CHAD","REPUBLIC OF CHAD","CHAD",
148,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","CHAD","REPUBLICA DE CHAD","CHAD",
148,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","TCHAD","REPUBLIQUE DU TCHAD","TCHAD",
152,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","CHILE","REPUBLIK CHILE","CHILE",
152,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","CHILE","REPUBLIC OF CHILE","CHILE",
152,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","CHILE","REPUBLICA DE CHILE","CHILE",
152,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","CHILI","REPUBLIQUE DU CHILI","CHILI",
156,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","CHINA","VOLKSREPUBLIK CHINA","CHINA",
156,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","CHINA","PEOPLE'S REPUBLIC OF CHINA","CHINA",
156,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","CHINA","REPUBLICA DEL PUEBLO DE CHINA","CHINA",
156,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","CHINE","REPUBLIQUE POPULAIRE DE CHINE","CHINE",
158,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","TAIWAN",,"TAIWAN","FORMOSA"
158,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","TAIWAN, PROVINCE OF CHINA",,"TAIWAN",
158,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","TAIWAN, PROVINCIA DE CHINA",,"TAIWAN",
158,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","TAIWAN, PROVINCE DE CHINE",,"TAIWAN",
170,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","KOLUMBIEN","REPUBLIK KOLUMBIEN","KOLUMBIEN",
170,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","COLOMBIA","REPUBLIC OF COLOMBIA","COLOMBIA",
170,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","COLOMBIA","REPUBLICA DE COLOMBIA","COLOMBIA",
170,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","COLOMBIE","REPUBLIQUE DE COLOMBIE","COLOMBIE",
174,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","KOMOREN","UNION DER KOMOREN","KOMOREN",
174,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","COMOROS","UNION OF THE COMOROS","COMOROS",
174,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","COMORAS","UNION DE LAS COMORAS","COMORAS",
174,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","COMORES","UNION DES COMORES","COMORES",
178,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","KONGO","REPUBLIK KONGO","KONGO",
178,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","CONGO","REPUBLIC OF THE CONGO","CONGO",
178,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","CONGO","REPUBLICA DEL CONGO","CONGO",
178,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","CONGO","REPUBLIQUE DU CONGO","CONGO",
180,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","ZAIRE","REPUBLIK ZAIRE","ZAIRE",
180,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","ZAIRE","REPUBLIC OF ZAIRE","ZAIRE",
180,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","ZAIRE","REPUBLICA DE ZAIRE","ZAIRE",
180,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","ZAIRE","REPUBLIQUE DU ZAIRE","ZAIRE",
180,1000/01/01 00:00:00,1997/05/30 00:00:00,"DE","KONGO, DEMOKRATISCHE REPUBLIK","DEMOKRATISCHE REPUBLIK KONGO","DEMOK.REP.KONGO",
180,1000/01/01 00:00:00,1997/05/30 00:00:00,"EN","CONGO, THE DEMOCRATIC REPUBLIC OF THE","THE DEMOCRATIC REPUBLIC OF THE CONGO","DEMOC.REP.CONGO",
180,1000/01/01 00:00:00,1997/05/30 00:00:00,"ES","CONGO, LA REPUBLICA DEMOCRATICA DEL","LA REPUBLICA DEMOCRATICA DEL CONGO","REP.DEMO.CONGO",
180,1000/01/01 00:00:00,1997/05/30 00:00:00,"FR","CONGO, LA REPUBLIQUE DEMOCRATIQUE DU","LA REPUBLIQUE DEMOCRATIQUE DU CONGO","REP.DEMOC.CONGO",
188,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","COSTA RICA","REPUBLIK COSTA RICA","COSTA RICA",
188,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","COSTA RICA","REPUBLIC OF COSTA RICA","COSTA RICA",
188,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","COSTA RICA","REPUBLICA DE COSTA RICA","COSTA RICA",
188,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","COSTA RICA","REPUBLIQUE DU COSTA RICA","COSTA RICA",
191,1992/01/01 00:00:00,1992/01/01 00:00:00,"DE","KROATIEN","REPUBLIK KROATIEN","KROATIEN",
191,1992/01/01 00:00:00,1992/01/01 00:00:00,"EN","CROATIA","REPUBLIC OF CROATIA","CROATIA",
191,1992/01/01 00:00:00,1992/01/01 00:00:00,"ES","CROACIA","REPUBLICA DE CROACIA","CROACIA",
191,1992/01/01 00:00:00,1992/01/01 00:00:00,"FR","CROATIE","REPUBLIQUE DE CROATIE","CROATIE",
192,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","KUBA","REPUBLIK KUBA","KUBA",
192,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","CUBA","REPUBLIC OF CUBA","CUBA",
192,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","CUBA","REPUBLICA DE CUBA","CUBA",
192,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","CUBA","REPUBLIQUE DE CUBA","CUBA",
196,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","ZYPERN","REPUBLIK ZYPERN","ZYPERN",
196,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","CYPRUS","REPUBLIC OF CYPRUS","CYPRUS",
196,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","CHIPRE","REPUBLICA DE CHIPRE","CHIPRE",
196,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","CHYPRE","REPUBLIQUE DE CHYPRE","CHYPRE",
200,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","TSCHECHOSLOWAKEI",,"TSCHECHOSLOWAK.",
200,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","CZECHOSLOVAKIA",,"CZECHOSLOVAKIA",
200,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","CHECOSLOVAQUIA",,"CHECOSLOVAQUIA",
200,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","TCHECOSLOVAQUIE",,"TCHECOSLOVAQUIE",
203,1993/01/01 00:00:00,1993/01/01 00:00:00,"DE","TSCHECHISCHE REPUBLIK",,"TSCHECHIEN",
203,1993/01/01 00:00:00,1993/01/01 00:00:00,"EN","CZECH REPUBLIC",,"CZECH REPUBLIC",
203,1993/01/01 00:00:00,1993/01/01 00:00:00,"ES","REPUBLICA CHECA",,"REPUBLICA CHECA",
203,1993/01/01 00:00:00,1993/01/01 00:00:00,"FR","TCHEQUE, REPUBLIQUE","REPUBLIQUE TCHEQUE","REP.TCHEQUE",
204,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","BENIN","REPUBLIK BENIN","BENIN","DAHOMEY"
204,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","BENIN","REPUBLIC OF BENIN","BENIN",
204,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","BENIN","REPUBLICA DE BENIN","BENIN",
204,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","BENIN","REPUBLIQUE DU BENIN","BENIN",
208,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","DAENEMARK","KOENIGREICH DAENEMARK","DAENEMARK",
